,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,18,14,0.563,4.06,4.16,,8,8,,13,2,,3,11,,2241,2170,,64.8,104.2,0.365,0.413,0.543,54.2,59.9,8.6,10.2,0.515,17.1,33.4,0.246
2,Akron NCAA,33,26,7,0.788,8.12,0.18,,14,2,,15,1,,7,4,,2369,2071,,66.4,93.1,0.344,0.297,0.486,48.1,49.5,10.3,8.1,0.443,17.4,33.2,0.245
3,Alabama,36,23,13,0.639,9.82,5.96,,12,6,,16,4,,4,8,,2268,2102,,62.3,92.8,0.325,0.322,0.491,53.4,48.1,8.9,10.4,0.454,19.6,37,0.226
4,Alabama A&M,31,11,20,0.355,-18.41,-9.82,,6,12,,7,6,,3,12,,1957,2160,,67.4,102.1,0.373,0.266,0.523,53.1,49.8,10.8,8.7,0.493,15.7,35.4,0.246
5,Alabama State,32,10,22,0.313,-17.9,-9.03,,8,10,,7,5,,3,14,,1979,2231,,67,103.2,0.379,0.342,0.523,53.3,54.9,11.7,8.3,0.491,16.7,38.5,0.252
6,Albany (NY) NCAA,35,24,11,0.686,-0.86,-4.51,,9,7,,11,4,,11,5,,2251,2123,,62.8,96.3,0.278,0.346,0.507,51.1,46.6,9.6,10.1,0.483,17.3,32.4,0.182
7,Alcorn State,34,10,24,0.294,-14.27,-7.11,,8,10,,5,8,,4,14,,2055,2248,,69,95.4,0.468,0.325,0.49,54.7,49.6,9.8,9,0.445,16.3,38.1,0.309
8,American,30,10,20,0.333,-8.55,-2.52,,5,9,,7,6,,3,14,,1735,1916,,59.4,106.2,0.279,0.352,0.537,51.4,59.9,10.8,11.1,0.513,13.6,29.7,0.189
9,Appalachian State,31,15,16,0.484,-7.88,-5.74,,10,8,,10,4,,4,11,,2211,2221,,68.3,102.5,0.341,0.294,0.537,52.4,50.1,10.6,8.6,0.505,17,33.7,0.236
10,Arizona NCAA,35,27,8,0.771,17.31,7.48,,12,6,,14,2,,7,4,,2570,2226,,66.8,94.9,0.329,0.309,0.504,47.3,49.2,9.2,9.3,0.466,17.4,29.2,0.234
11,Arizona State,35,22,13,0.629,8.82,4.57,,9,9,,16,4,,4,7,,2512,2363,,67.5,98.3,0.266,0.321,0.5,51.7,52.1,10,9.3,0.464,15.5,32.3,0.197
12,Arkansas,32,19,13,0.594,9.83,4.99,,10,8,,17,1,,1,9,,2358,2203,,70.6,96.8,0.444,0.328,0.527,54.1,51.5,7.4,9.5,0.492,21.2,36.9,0.293
13,Arkansas State,31,19,12,0.613,0.79,-4.34,,12,8,,13,2,,5,9,,2127,1944,,66.3,92,0.352,0.313,0.5,51.3,47.5,9.2,8.3,0.464,20.3,33.7,0.239
14,Arkansas-Pine Bluff,30,16,14,0.533,-12.21,-8.28,,15,3,,9,0,,6,12,,1880,1998,,68.7,96.5,0.377,0.407,0.507,54.7,65.4,10.5,8.2,0.469,19.8,38.7,0.257
15,Army,31,16,15,0.516,-1.48,-4.51,,8,6,,9,4,,6,10,,2245,2112,,67.8,99.3,0.366,0.352,0.514,50.6,54.5,9.9,10.2,0.479,16.3,32.6,0.249
16,Auburn,32,9,23,0.281,0.23,4.2,,3,15,,7,10,,1,9,,2074,2201,,66.6,101.3,0.43,0.388,0.532,53.5,58.4,9.7,9.8,0.497,17.2,33.5,0.288
17,Austin Peay,31,8,23,0.258,-12.31,-4.28,,4,12,,5,8,,2,12,,2218,2371,,69.7,107.6,0.285,0.324,0.542,53.8,56,12.2,8.4,0.512,15.6,37.4,0.205
