Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 12, 2014 - Mar 15, 2014",Louisville,Connecticut
Atlantic Coast Conference,"Mar 12, 2014 - Mar 16, 2014",UVa,Duke
America East Conference,"Mar 08, 2014 - Mar 15, 2014",Albany (NY),Stony Brook
Atlantic 10 Conference,"Mar 12, 2014 - Mar 16, 2014",St. Joseph's,VCU
Atlantic Sun Conference,"Mar 04, 2014 - Mar 09, 2014",Mercer,Fla. Gulf Coast
Big 12 Conference,"Mar 12, 2014 - Mar 15, 2014",Iowa St.,Baylor
Big East Conference,"Mar 12, 2014 - Mar 15, 2014",Providence,Creighton
Big Sky Conference,"Mar 13, 2014 - Mar 15, 2014",Weber St.,North Dakota
Big South Conference,"Mar 05, 2014 - Mar 09, 2014",Coastal Caro.,Winthrop
Big Ten Conference,"Mar 13, 2014 - Mar 16, 2014",Michigan St.,Michigan
Big West Conference,"Mar 13, 2014 - Mar 15, 2014",Cal Poly,Cal St Northridge
Colonial Athletic Association,"Mar 07, 2014 - Mar 10, 2014",Delaware,William & Mary
Conference USA,"Mar 11, 2014 - Mar 15, 2014",Tulsa,Louisiana Tech
Horizon League,"Mar 04, 2014 - Mar 11, 2014",Milwaukee,Wright St.
Metro Atlantic Athletic Conference,"Mar 06, 2014 - Mar 10, 2014",Manhattan,Iona
Mid-American Conference,"Mar 10, 2014 - Mar 15, 2014",Western Mich.,Toledo
Mid-Eastern Athletic Conference,"Mar 10, 2014 - Mar 15, 2014",N.C. Central,Morgan St.
Missouri Valley Conference,"Mar 06, 2014 - Mar 09, 2014",Wichita St.,Indiana St.
Mountain West Conference,"Mar 12, 2014 - Mar 15, 2014",New Mexico,San Diego St.
Northeast Conference,"Mar 05, 2014 - Mar 11, 2014",Mt. St. Mary's,Robert Morris
Ohio Valley Conference,"Mar 05, 2014 - Mar 08, 2014",Eastern Ky.,Belmont
Pac-12 Conference,"Mar 12, 2014 - Mar 15, 2014",UCLA,Arizona
Patriot League,"Mar 03, 2014 - Mar 12, 2014",American,Boston U.
Southeastern Conference,"Mar 12, 2014 - Mar 16, 2014",Florida,Kentucky
Southern Conference,"Mar 07, 2014 - Mar 10, 2014",Wofford,Western Caro.
Southland Conference,"Mar 12, 2014 - Mar 15, 2014",Stephen F. Austin,Sam Houston
Summit League,"Mar 08, 2014 - Mar 11, 2014",North Dakota St.,Fort Wayne
Sun Belt Conference,"Mar 13, 2014 - Mar 16, 2014",Louis.,Georgia St.
Southwest Athletic Conference,"Mar 11, 2014 - Mar 15, 2014",Texas Southern,Prairie View
Western Athletic Conference,"Mar 13, 2014 - Mar 15, 2014",New Mexico St.,Idaho
West Coast Conference,"Mar 06, 2014 - Mar 11, 2014",Gonzaga,BYU
