Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, Phoenix,Deandre Ayton,Jul-00,260,C,Arizona,Fr.
2, Sacramento,Marvin Bagley,11-Jun,235,PF,Duke,Fr.
3, Dallas,Luka Doncic,8-Jun,225,SG/SF,Slovenia,Intl.
4, Memphis,Jaren Jackson Jr.,11-Jun,235,PF/C,Michigan St.,Fr.
5, Atlanta,Mohamed Bamba,Jul-00,225,C,Texas,Fr.
6, Orlando,Trae Young,2-Jun,180,PG,Oklahoma,Fr.
7, Chicago,Wendell Carter,10-Jun,250,C,Duke,Fr.
8, *Cleveland,Collin Sexton,2-Jun,185,PG,Alabama,Fr.
9, New York,Kevin Knox,9-Jun,215,SF/PF,Kentucky,Fr.
10, *Phoenix,Mikal Bridges,7-Jun,210,SG/SF,Villanova,Jr.
11, *LA Clippers,Shai Gilgeous-Al...,6-Jun,180,PG,Kentucky,Fr.
12, Charlotte,Miles Bridges,6-Jun,220,SF/PF,Michigan St.,So.
13, LA Clippers,Jerome Robinson,5-Jun,190,SG,Boston College,Jr.
14, Denver,Michael Porter,11-Jun,210,SF,Missouri,Fr.
15, Washington,Lonnie Walker,5-Jun,195,SG,Miami,Fr.
16, *Philadelphia,Zhaire Smith,4-Jun,200,SG,Texas Tech,Fr.
17, Milwaukee,Donte DiVincenzo,5-Jun,200,SG,Villanova,So.
18, San Antonio,Kevin Huerter,7-Jun,195,SG,Maryland,So.
19, *Atlanta,Grayson Allen,4-Jun,200,SG,Duke,Sr.
20, *Minnesota,Aaron Holiday,1-Jun,185,PG,UCLA,Jr.
21, Utah,Robert Williams,9-Jun,240,PF/C,Texas A&M,So.
22, *Chicago,Chandler Hutchison,7-Jun,195,SG/SF,Boise State,Sr.
23, Indiana,Elie Okobo,2-Jun,180,PG,France,Intl.
24, Portland,Troy Brown,7-Jun,210,SG,Oregon,Fr.
25, *LA Lakers,Anfernee Simons,3-Jun,185,PG/SG,Undecided,HSSr.
26, Philadelphia,Khyri Thomas,4-Jun,200,SG,Creighton,Jr.
27, Boston,Josh Okogie,4-Jun,210,SG/SF,Georgia Tech,So.
28, Golden St.,Gary Trent Jr.,5-Jun,205,SG,Duke,Fr.
29, *Brooklyn,Dzanan Musa,9-Jun,195,SF,Bosnia & Herz...,Intl.
30, *Atlanta,Moritz Wagner,11-Jun,240,PF/C,Michigan,Jr.
#,Team,Player,H,W,P,School,C
31, Phoenix,Keita Bates-Diop,8-Jun,225,SF/PF,Ohio St.,Jr.
32, *Memphis,Jacob Evans,5-Jun,200,SG/SF,Cincinnati,Jr.
33, Dallas,Jalen Brunson,2-Jun,200,PG,Villanova,Jr.
34, Charlotte,Landry Shamet,5-Jun,190,PG/SG,Wichita State,So.
35, *Orlando,Omari Spellman,9-Jun,255,PF/C,Villanova,Fr.
36, *New York,De'Anthony Melton,3-Jun,195,PG/SG,USC,So.
37, *Portland,Rawle Alkins,4-Jun,220,SG,Arizona,So.
38, *Detroit,Shake Milton,6-Jun,205,PG/SG,SMU,Jr.
39, *LA Lakers,Mitchell Robinson,1-Jul,225,C,USA,Fr.
40, *Denver,Issuf Sanon,4-Jun,190,PG/SG,Ukraine,Intl.
41, *Denver,Melvin Frazier,6-Jun,200,SG/SF,Tulane,Jr.
42, Detroit,Hamidou Diallo,5-Jun,195,SG,Kentucky,Fr.
43, *Orlando,Brandon McCoy UNLV,1-Jul,250,C,UNLV,Fr.
44, Washington,Jevon Carter,1-Jun,195,PG,West Virginia,Sr.
45, *Charlotte,Sviatoslav Mykha...,8-Jun,210,SG,Kansas,Sr.
46, *Houston,Jarred Vanderbilt,9-Jun,215,SF,Kentucky,Fr.
47, *LA Lakers,Rodions Kurucs,9-Jun,220,SF,Latvia,Intl.
48, Minnesota,Isaac Bonga,9-Jun,200,SF,Germany,Intl.
49, San Antonio,Chimezie Metu,10-Jun,220,PF/C,USC,Jr.
50, Indiana,Trevon Duval,3-Jun,190,PG,Duke,Fr.
51, New Orleans,Keenan Evans,3-Jun,185,PG/SG,Texas Tech,Sr.
52, Houston,Raymond Spalding,10-Jun,215,PF,Louisville,Jr.
53, Oklahoma Cty,Justin Jackson MD,7-Jun,230,SF/PF,Maryland,So.
54, *Philadelphia,Devonte Graham,1-Jun,185,PG,Kansas,Sr.
55, *Charlotte,Kostas Antetokou...,10-Jun,195,SF/PF,Dayton,Fr.
56, Dallas,Kenrich Williams,7-Jun,200,SF,TCU,Sr.
57, *Oklahoma Cty,Kevin Hervey,8-Jun,215,SF/PF,Texas Arlington,Sr.
58, *Denver,Alize Johnson,8-Jun,215,PF,Missouri State,Sr.
59, *Phoenix,Arnoldas Kulboka,11-Jun,215,SF,Lithuania,Intl.
60, *Dallas,Bruce Brown,5-Jun,195,SG,Miami,So.
