,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,20,11,0.645,-2.87,-6.87,,15,5,,13,3,,7,8,,2352,2024,,1260,668,1545,0.432,154,517,0.298,534,728,0.734,271,1036,297,211,114,616,616
2,Air Force,32,12,20,0.375,-0.37,3.02,,5,13,,8,7,,3,9,,2338,2386,,1280,839,1809,0.464,331,883,0.375,377,530,0.711,232,1040,462,200,88,366,605
3,Akron,31,24,7,0.774,7.15,-0.4,,14,4,,15,2,,8,4,,2348,2062,,1240,754,1886,0.4,193,636,0.303,361,540,0.669,355,1137,318,187,85,410,618
4,Alabama,31,16,15,0.516,11.12,8.12,,8,10,,10,5,,4,8,,2542,2449,,1260,850,2002,0.425,217,695,0.312,532,718,0.741,382,1233,369,263,124,435,629
5,Alabama A&M,30,8,22,0.267,-18.88,-8.85,,5,13,,6,5,,2,16,,1845,2146,,1205,778,1705,0.456,193,595,0.324,397,600,0.662,275,1146,399,198,131,381,530
6,Alabama State,32,8,24,0.25,-16.15,-6.53,,7,11,,4,5,,2,16,,1965,2273,,1280,812,1781,0.456,202,613,0.33,447,683,0.654,309,1160,408,238,115,459,624
7,Albany (NY),32,14,18,0.438,-8.78,-5.91,,7,9,,7,7,,5,11,,2127,2190,,1285,788,1876,0.42,251,732,0.343,363,523,0.694,287,1104,430,246,109,409,574
8,Alcorn State,30,15,15,0.5,-14.64,-9.64,,11,7,,11,2,,4,13,,2251,2196,,1210,795,1770,0.449,200,606,0.33,406,632,0.642,296,1058,420,222,89,413,509
9,American,30,16,14,0.533,-4.37,-6.5,,12,6,,10,4,,6,10,,2149,2085,,1205,745,1668,0.447,168,526,0.319,427,612,0.698,296,1038,356,179,96,411,472
10,Appalachian State,33,18,15,0.545,-0.81,-0.01,,11,9,,10,5,,7,9,,2256,2222,,1325,813,1886,0.431,241,746,0.323,355,494,0.719,322,1166,447,225,86,476,645
11,Arizona,32,21,11,0.656,19.49,8.4,,10,8,,13,4,,4,6,,2445,2090,,1290,708,1797,0.394,211,677,0.312,463,632,0.733,296,1083,363,155,99,465,614
12,Arizona State,31,20,11,0.645,11.46,8.1,,11,7,,13,3,,6,5,,2288,2184,,1240,769,1796,0.428,227,686,0.331,419,615,0.681,318,1182,388,203,119,508,569
13,Arkansas,32,20,12,0.625,13.46,7.27,,7,11,,14,4,,4,8,,2426,2228,,1300,773,1808,0.428,164,602,0.272,518,739,0.701,351,1226,324,160,95,512,687
14,Arkansas State,32,16,16,0.5,-2.92,-0.72,,8,12,,10,7,,6,9,,2262,2301,,1290,787,1725,0.456,208,605,0.344,519,716,0.725,300,1082,437,193,67,449,668
15,Arkansas-Pine Bluff,30,4,26,0.133,-21.65,-6.41,,3,15,,2,8,,2,18,,1615,2049,,1205,681,1577,0.432,182,589,0.309,505,744,0.679,291,981,387,289,76,425,523
16,Army,30,15,15,0.5,-9.1,-6.68,,10,8,,9,6,,6,9,,2128,2161,,1210,801,1821,0.44,267,758,0.352,292,436,0.67,271,1073,411,189,101,356,442
17,Auburn,31,25,6,0.806,15.04,7.39,,12,6,,16,1,,5,5,,2419,2182,,1270,759,1840,0.413,217,667,0.325,447,623,0.717,319,1090,346,207,97,418,656
18,Austin Peay,33,21,12,0.636,-0.98,-4.14,,14,4,,14,0,,5,10,,2519,2359,,1325,861,1841,0.468,226,626,0.361,411,594,0.692,303,1093,448,201,80,493,643
19,Ball State,31,18,13,0.581,4.12,-1.65,,11,7,,11,4,,5,7,,2155,1938,,1240,708,1766,0.401,182,593,0.307,340,496,0.685,275,1076,305,197,82,422,507
20,Baylor,30,26,4,0.867,20.13,9.13,,15,3,,14,1,,8,2,,2134,1804,,1205,643,1618,0.397,176,566,0.311,342,498,0.687,306,1002,339,174,146,456,549
21,Belmont,33,26,7,0.788,4.3,-6.23,,15,3,,13,1,,11,5,,2627,2241,,1320,846,2033,0.416,232,704,0.33,317,495,0.64,336,1210,398,191,97,473,478
22,Bethune-Cookman,30,16,14,0.533,-10.16,-8.98,,10,6,,10,1,,4,13,,2239,2167,,1215,767,1811,0.424,173,626,0.276,460,701,0.656,347,1151,385,215,91,471,582
23,Binghamton,29,10,19,0.345,-15.03,-4.62,,4,12,,7,7,,3,12,,2014,2221,,1165,823,1810,0.455,232,692,0.335,343,525,0.653,330,1136,420,183,83,287,430
24,Boise State,32,20,12,0.625,8.59,4.39,,11,7,,13,2,,4,8,,2430,2223,,1305,814,1819,0.447,212,710,0.299,383,534,0.717,235,1050,365,192,74,442,641
25,Boston College,32,13,19,0.406,1.82,7.86,,7,13,,8,10,,4,8,,2067,2260,,1285,818,1845,0.443,229,686,0.334,395,552,0.716,335,1220,429,218,102,464,537
26,Boston University,34,21,13,0.618,-1.87,-5.3,,12,6,,12,3,,9,8,,2410,2269,,1375,850,1946,0.437,225,690,0.326,344,512,0.672,288,1130,387,219,92,395,543
27,Bowling Green State,31,21,10,0.677,0.47,0.2,,12,6,,13,2,,5,5,,2310,2259,,1250,797,1898,0.42,239,726,0.329,426,621,0.686,314,1183,318,177,96,367,531
28,Bradley,34,23,11,0.676,5.33,0.33,,11,7,,15,2,,4,8,,2438,2240,,1370,765,1939,0.395,265,839,0.316,445,592,0.752,318,1138,400,196,99,412,591
29,Brigham Young,32,24,8,0.75,16.93,6.45,,13,3,,14,1,,6,5,,2548,2188,,1295,819,1869,0.438,193,626,0.308,357,515,0.693,266,1076,380,200,77,412,505
30,Brown,27,15,12,0.556,-4.45,-1.72,,8,6,,10,4,,5,8,,1809,1854,,1080,671,1560,0.43,187,568,0.329,325,451,0.721,252,948,323,211,110,377,524
31,Bryant,32,15,17,0.469,-6.7,-6.67,,7,11,,9,5,,6,12,,2271,2223,,1285,803,1942,0.413,219,706,0.31,398,586,0.679,348,1190,404,210,110,386,537
32,Bucknell,34,14,20,0.412,-7.73,-4.32,,8,10,,9,4,,4,14,,2299,2415,,1360,860,1865,0.461,201,620,0.324,494,714,0.692,293,1197,425,234,107,471,546
33,Buffalo,32,20,12,0.625,1.8,0.06,,11,7,,10,7,,7,4,,2516,2425,,1290,880,2023,0.435,219,693,0.316,446,608,0.734,356,1217,413,214,121,463,571
34,Butler,31,22,9,0.71,15.56,9.14,,10,8,,14,3,,5,6,,2125,1926,,1245,669,1692,0.395,212,642,0.33,376,523,0.719,272,945,349,174,96,360,512
35,Cal Poly,30,7,23,0.233,-10,-0.42,,4,12,,7,6,,0,15,,2027,2248,,1235,756,1668,0.453,222,598,0.371,514,710,0.724,289,1105,413,195,95,402,549
36,Cal State Bakersfield,31,12,19,0.387,-7.11,-3.26,,6,10,,9,7,,3,12,,2109,2097,,1265,666,1564,0.426,231,640,0.361,534,741,0.721,252,957,350,159,88,415,530
37,Cal State Fullerton,31,11,20,0.355,-6.79,-1.38,,6,10,,6,8,,4,11,,2127,2213,,1265,783,1779,0.44,192,575,0.334,455,626,0.727,279,1127,381,189,102,402,590
38,Cal State Northridge,32,15,17,0.469,-6.37,-0.97,,10,6,,10,4,,5,12,,2435,2528,,1280,908,1960,0.463,305,796,0.383,407,569,0.715,352,1189,491,162,101,406,583
39,California,32,14,18,0.438,3.2,9.05,,7,11,,12,5,,1,10,,2023,2210,,1295,748,1741,0.43,240,661,0.363,474,644,0.736,279,1061,387,157,115,368,571
40,California Baptist,31,21,10,0.677,-1.99,-6.66,,10,6,,15,5,,6,5,,2465,2170,,1255,794,1900,0.418,189,625,0.302,393,576,0.682,296,1048,385,189,105,335,604
41,Campbell,31,15,16,0.484,-8.51,-8.1,,6,12,,8,5,,6,10,,2130,2065,,1245,722,1641,0.44,170,551,0.309,451,642,0.702,284,1044,312,200,65,429,463
42,Canisius,32,12,20,0.375,-7.6,-5.44,,7,13,,7,6,,4,12,,2196,2265,,1280,801,1762,0.455,220,633,0.348,443,628,0.705,309,1117,379,216,90,491,567
43,Central Arkansas,31,10,21,0.323,-11.26,-2.7,,9,11,,8,4,,2,16,,2316,2553,,1270,892,1989,0.448,275,740,0.372,494,690,0.716,341,1171,479,291,99,432,656
44,Central Connecticut State,31,4,27,0.129,-20.33,-4.63,,3,15,,4,9,,0,16,,1959,2396,,1240,852,1854,0.46,270,734,0.368,422,607,0.695,355,1220,473,226,131,404,503
45,Central Michigan,32,14,18,0.438,-3.4,-0.26,,7,11,,12,4,,2,14,,2506,2454,,1285,893,1931,0.462,288,761,0.378,380,534,0.712,308,1209,451,204,109,527,619
46,Charleston Southern,32,14,18,0.438,-13.14,-6.98,,7,11,,9,6,,5,11,,2203,2304,,1295,849,1846,0.46,228,680,0.335,378,539,0.701,312,1194,452,220,86,420,504
47,Charlotte,29,16,13,0.552,0.46,-1.09,,10,8,,13,2,,3,11,,1922,1877,,1175,692,1570,0.441,200,626,0.319,293,433,0.677,219,908,347,201,100,398,485
48,Chattanooga,33,20,13,0.606,0.39,-1.9,,10,8,,10,4,,7,8,,2410,2261,,1325,845,1893,0.446,218,693,0.315,353,507,0.696,266,1087,387,185,103,390,554
