YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2025,2162,2166,1145,Alabama St.,16,72,72,68
2025,2161,2165,1099,Saint Francis,16,72,72,70
2025,2158,2162,1104,North Carolina,11,72,72,95
2025,2157,2161,1097,San Diego St.,11,72,72,68
2025,2156,2160,1108,Mount St. Mary's,16,72,72,83
2025,2155,2159,1144,American,16,72,72,72
2025,2154,2158,1081,Xavier,11,72,72,86
2025,2153,2157,1093,Texas,11,72,72,80
2025,2150,2154,1141,Auburn,1,1,64,83
2025,2149,2153,1145,Alabama St.,16,64,64,63
2025,2148,2152,1119,Louisville,8,1,64,75
2025,2147,2151,1134,Creighton,9,64,64,89
2025,2146,2150,1114,Michigan,5,1,64,68
2025,2145,2149,1089,UC San Diego,12,64,64,65
2025,2144,2148,1092,Texas A&M,4,1,64,80
2025,2143,2147,1080,Yale,13,64,64,71
2025,2142,2146,1112,Mississippi,6,1,64,71
2025,2141,2145,1104,North Carolina,11,64,64,64
2025,2140,2144,1124,Iowa St.,3,1,64,82
2025,2139,2143,1120,Lipscomb,14,64,64,55
2025,2138,2142,1118,Marquette,7,1,64,66
2025,2137,2141,1106,New Mexico,10,64,64,75
2025,2136,2140,1113,Michigan St.,2,1,64,87
2025,2135,2139,1139,Bryant,15,64,64,62
2025,2134,2138,1131,Florida,1,1,64,95
2025,2133,2137,1105,Norfolk St.,16,64,64,69
2025,2132,2136,1135,Connecticut,8,1,64,67
2025,2131,2135,1103,Oklahoma,9,64,64,59
2025,2130,2134,1115,Memphis,5,1,64,70
2025,2129,2133,1136,Colorado St.,12,64,64,78
2025,2128,2132,1117,Maryland,4,1,64,81
2025,2127,2131,1128,Grand Canyon,13,64,64,49
2025,2124,2128,1110,Missouri,6,1,64,57
2025,2123,2127,1133,Drake,11,64,64,67
2025,2122,2126,1091,Texas Tech,3,1,64,82
2025,2121,2125,1087,UNC Wilmington,14,64,64,72
2025,2120,2124,1123,Kansas,7,1,64,72
2025,2119,2123,1142,Arkansas,10,64,64,79
2025,2118,2122,1095,St. John's,2,1,64,83
2025,2117,2121,1107,Nebraska Omaha,15,64,64,53
2025,2116,2120,1132,Duke,1,1,64,93
2025,2115,2119,1108,Mount St. Mary's,16,64,64,49
2025,2114,2118,1111,Mississippi St.,8,1,64,
2025,2113,2117,1140,Baylor,9,64,64,
2025,2112,2116,1102,Oregon,5,1,64,
2025,2111,2115,1121,Liberty,12,64,64,
2025,2110,2114,1143,Arizona,4,1,64,
2025,2109,2113,1147,Akron,13,64,64,
2025,2108,2112,1138,BYU,6,1,64,
2025,2107,2111,1084,VCU,11,64,64,
2025,2106,2110,1083,Wisconsin,3,1,64,
2025,2105,2109,1109,Montana,14,64,64,
2025,2104,2108,1098,Saint Mary's,7,1,64,
2025,2103,2107,1085,Vanderbilt,10,64,64,
2025,2102,2106,1146,Alabama,2,1,64,
2025,2101,2105,1100,Robert Morris,15,64,64,
2025,2100,2104,1126,Houston,1,1,64,
