YEAR,BY YEAR NO,TEAM NO,TEAM,SEED,CURRENT ROUND,SCORE,Opponent,Opponenet Score,Result
2025,2140,1145,Alabama St.,16,68,68,Saint Francis,70,0
2025,2139,1099,Saint Francis,16,68,70,Alabama St.,68,1
2025,2138,1104,North Carolina,11,68,95,San Diego St.,68,1
2025,2137,1097,San Diego St.,11,68,68,North Carolina,95,0
2025,2136,1108,Mount St. Mary's,16,68,83,American,72,1
2025,2135,1144,American,16,68,72,Mount St. Mary's,83,0
2025,2134,1081,Xavier,11,68,86,Texas,80,1
2025,2133,1093,Texas,11,68,80,Xavier,86,0
2025,2132,1141,Auburn,1,64,83,Alabama St.,63,1
2025,2131,1145,Alabama St.,16,64,63,Auburn,83,0
2025,2130,1119,Louisville,8,64,75,Creighton,89,0
2025,2129,1134,Creighton,9,64,89,Louisville,75,1
2025,2128,1114,Michigan,5,64,68,UC San Diego,65,1
2025,2127,1089,UC San Diego,12,64,65,Michigan,68,0
2025,2126,1092,Texas A&M,4,64,80,Yale,71,1
2025,2125,1080,Yale,13,64,71,Texas A&M,80,0
2025,2124,1112,Mississippi,6,64,71,North Carolina,64,1
2025,2123,1104,North Carolina,11,64,64,Mississippi,71,0
2025,2122,1124,Iowa St.,3,64,82,Lipscomb,55,1
2025,2121,1120,Lipscomb,14,64,55,Iowa St.,82,0
2025,2120,1118,Marquette,7,64,66,New Mexico,75,0
2025,2119,1106,New Mexico,10,64,75,Marquette,66,1
2025,2118,1113,Michigan St.,2,64,87,Bryant,62,1
2025,2117,1139,Bryant,15,64,62,Michigan St.,87,0
2025,2116,1131,Florida,1,64,95,Norfolk St.,69,1
2025,2115,1105,Norfolk St.,16,64,69,Florida,95,0
2025,2114,1135,Connecticut,8,64,67,Oklahoma,59,1
2025,2113,1103,Oklahoma,9,64,59,Connecticut,67,0
2025,2112,1115,Memphis,5,64,70,Colorado St.,78,0
2025,2111,1136,Colorado St.,12,64,78,Memphis,70,1
2025,2110,1117,Maryland,4,64,81,Grand Canyon,49,1
2025,2109,1128,Grand Canyon,13,64,49,Maryland,81,0
2025,2108,1110,Missouri,6,64,57,Drake,67,0
2025,2107,1133,Drake,11,64,67,Missouri,57,1
